,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time
Exp#195,0,15,0,0,0,0,10,10,30,5,0,-1.2,150
Exp#196,0,10,15,0,20,5,0,15,0,5,0,-1.4,150
Exp#197,5,10,5,10,0,10,0,5,5,10,10,-1.1,150
Exp#198,5,0,0,15,0,10,10,15,10,0,5,-1.1,60
Exp#199,5,5,0,15,0,0,5,10,5,20,5,-1.1,60
Exp#200,15,0,5,0,0,10,0,25,5,10,0,-1.3,120
Exp#201,5,20,0,0,5,0,20,15,0,5,0,-1.4,90
Exp#202,5,0,0,5,5,10,0,5,25,15,0,-1.2,150
Exp#203,0,0,0,10,0,20,15,10,10,0,5,-1.2,90
Exp#204,5,5,5,0,15,0,0,0,35,5,0,-1.2,120
Exp#205,0,5,0,15,0,0,5,0,0,45,0,-1.3,90
Exp#206,10,0,0,10,0,0,15,25,5,5,0,-1.4,60
Exp#207,10,5,15,5,5,5,5,5,0,15,0,-1.4,150
Exp#208,15,0,5,10,10,10,0,5,10,5,0,-1.5,60
Exp#209,0,10,0,20,0,0,10,20,0,0,10,-1.5,120
Exp#210,0,10,0,10,5,0,20,10,5,10,0,-1.1,60
Exp#211,0,30,0,10,0,0,0,0,20,5,5,-1.2,90
Exp#212,0,25,0,0,10,0,0,0,10,25,0,-1.5,150
Exp#213,0,5,0,0,25,5,10,15,10,0,0,-1.3,60
Exp#214,0,0,0,0,0,10,15,30,0,0,15,-1.1,150
Exp#215,5,0,10,0,0,10,0,5,15,0,25,-1.3,60
Exp#216,5,0,10,5,0,5,15,15,10,0,5,-1.5,60
Exp#217,10,15,0,5,0,5,0,20,5,0,10,-1.3,60
Exp#218,0,5,0,5,0,5,15,10,20,0,10,-1.2,90
Exp#219,5,0,10,5,10,0,0,0,20,10,10,-1.1,150
Exp#220,10,5,0,0,0,5,5,5,10,30,0,-1.5,150
Exp#221,0,5,5,0,10,0,0,5,30,5,10,-1.5,150
Exp#222,10,10,5,15,0,5,0,20,0,0,5,-1.2,90
Exp#223,15,0,0,5,20,0,5,20,5,0,0,-1.3,60
Exp#224,5,10,5,0,10,0,0,15,0,15,10,-1.1,60
Exp#225,10,10,0,0,10,0,10,10,15,5,0,-1.3,90
Exp#226,0,0,0,5,0,10,15,15,5,0,20,-1.4,120
Exp#227,0,5,0,5,15,5,5,20,0,15,0,-1.2,60
Exp#228,0,0,5,0,20,0,0,25,10,10,0,-1.3,90
Exp#229,10,10,0,0,5,0,10,5,5,20,5,-1.5,90
Exp#230,15,0,10,0,20,0,0,20,5,0,0,-1.1,90
Exp#231,0,0,15,15,0,0,0,0,10,15,15,-1.4,120
Exp#232,25,5,5,0,0,0,0,25,10,0,0,-1.3,120
Exp#233,5,15,0,0,10,0,15,0,10,10,5,-1.3,60
Exp#234,0,15,5,0,0,0,10,5,30,5,0,-1.4,150
Exp#235,0,5,0,0,5,10,5,5,40,0,0,-1.5,90
Exp#236,0,0,0,15,5,0,15,10,5,15,5,-1.4,90
Exp#237,0,0,0,10,0,10,25,5,5,10,5,-1.1,150
Exp#238,0,15,0,15,5,0,5,5,5,10,10,-1.5,150
Exp#239,5,5,20,10,0,5,5,15,5,0,0,-1.1,90
Exp#240,5,10,5,10,0,0,5,25,0,0,10,-1.4,150
Exp#241,0,15,0,5,0,0,15,5,5,10,15,-1.3,90
Exp#242,0,10,5,5,0,0,15,25,5,5,0,-1.4,150
Exp#243,10,0,0,0,5,5,0,10,5,10,25,-1.4,120
Exp#244,10,5,0,5,0,0,5,5,0,30,10,-1.5,150
Exp#245,20,0,5,0,15,10,0,20,0,0,0,-1.1,120
Exp#246,5,0,5,0,0,10,5,0,25,5,15,-1.4,60
Exp#247,5,0,5,0,10,0,0,10,15,0,25,-1.1,60
Exp#248,0,5,0,0,0,30,0,0,20,10,5,-1.3,90
Exp#249,0,0,5,0,10,0,5,25,15,5,5,-1.5,60
Exp#250,0,35,0,0,0,0,0,10,15,0,10,-1.3,150
Exp#251,5,5,0,20,5,5,5,15,0,5,5,-1.4,90
Exp#252,5,0,0,0,0,10,35,10,5,5,0,-1.2,90
Exp#253,10,5,0,5,0,20,10,5,10,5,0,-1.2,120
Exp#254,5,0,0,10,0,15,0,0,0,25,15,-1.1,90
Exp#255,0,5,10,0,25,0,0,0,10,10,10,-1.2,60
Exp#256,0,10,0,0,5,5,15,15,5,0,15,-1.5,60
Exp#257,5,0,5,10,10,0,5,10,10,0,15,-1.3,150
Exp#258,0,20,0,0,0,0,0,0,15,30,5,-1.4,60
Exp#259,20,5,5,10,5,0,0,5,20,0,0,-1.3,120
Exp#260,5,25,15,5,0,0,0,15,0,5,0,-1.2,150
Exp#261,0,0,0,10,5,5,5,5,0,15,25,-1.3,60
Exp#262,5,5,10,0,10,0,0,20,10,5,5,-1.2,60
