Sept. 16, 2024   05:00:47
Amperometric i-t Curve
File: c:/users/guazh/data/20240903_batch_252_500/2024-09-03-exp367\exp367deposition-2024-09-16t04_56_54-deposition\exp367deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 14.9

Results:

Channel 1:

Time/sec, Current/A

4.990e+1, 3.116e-3
5.000e+1, 3.109e-3
5.010e+1, 3.105e-3
5.020e+1, 3.101e-3
5.030e+1, 3.098e-3
5.040e+1, 3.094e-3
5.050e+1, 3.093e-3
5.060e+1, 3.092e-3
5.070e+1, 3.087e-3
5.080e+1, 3.088e-3
5.090e+1, 3.083e-3
5.100e+1, 3.083e-3
5.110e+1, 3.080e-3
5.120e+1, 3.077e-3
5.130e+1, 3.074e-3
5.140e+1, 3.073e-3
5.150e+1, 3.073e-3
5.160e+1, 3.077e-3
5.170e+1, 3.083e-3
5.180e+1, 3.086e-3
5.190e+1, 3.083e-3
5.200e+1, 3.078e-3
5.210e+1, 3.075e-3
5.220e+1, 3.074e-3
5.230e+1, 3.076e-3
5.240e+1, 3.073e-3
5.250e+1, 3.070e-3
5.260e+1, 3.068e-3
5.270e+1, 3.064e-3
5.280e+1, 3.060e-3
5.290e+1, 3.059e-3
5.300e+1, 3.054e-3
5.310e+1, 3.053e-3
5.320e+1, 3.053e-3
5.330e+1, 3.049e-3
5.340e+1, 3.050e-3
5.350e+1, 3.051e-3
5.360e+1, 3.052e-3
5.370e+1, 3.047e-3
5.380e+1, 3.030e-3
5.390e+1, 3.029e-3
5.400e+1, 3.051e-3
5.410e+1, 3.058e-3
5.420e+1, 3.059e-3
5.430e+1, 3.060e-3
5.440e+1, 3.061e-3
5.450e+1, 3.061e-3
5.460e+1, 3.062e-3
5.470e+1, 3.067e-3
5.480e+1, 3.065e-3
5.490e+1, 3.077e-3
5.500e+1, 3.111e-3
5.510e+1, 3.127e-3
5.520e+1, 3.127e-3
5.530e+1, 3.130e-3
5.540e+1, 3.125e-3
5.550e+1, 3.122e-3
5.560e+1, 3.126e-3
5.570e+1, 3.176e-3
5.580e+1, 3.177e-3
5.590e+1, 3.170e-3
5.600e+1, 3.165e-3
5.610e+1, 3.168e-3
5.620e+1, 3.161e-3
5.630e+1, 3.157e-3
5.640e+1, 3.153e-3
5.650e+1, 3.151e-3
5.660e+1, 3.148e-3
5.670e+1, 3.137e-3
5.680e+1, 3.141e-3
5.690e+1, 3.137e-3
5.700e+1, 3.134e-3
5.710e+1, 3.131e-3
5.720e+1, 3.128e-3
5.730e+1, 3.126e-3
5.740e+1, 3.123e-3
5.750e+1, 3.118e-3
5.760e+1, 3.118e-3
5.770e+1, 3.116e-3
5.780e+1, 3.114e-3
5.790e+1, 3.114e-3
5.800e+1, 3.113e-3
5.810e+1, 3.112e-3
5.820e+1, 3.113e-3
5.830e+1, 3.114e-3
5.840e+1, 3.112e-3
5.850e+1, 3.109e-3
5.860e+1, 3.114e-3
5.870e+1, 3.111e-3
5.880e+1, 3.111e-3
5.890e+1, 3.112e-3
5.900e+1, 3.116e-3
5.910e+1, 3.120e-3
5.920e+1, 3.123e-3
5.930e+1, 3.124e-3
5.940e+1, 3.126e-3
5.950e+1, 3.129e-3
5.960e+1, 3.136e-3
5.970e+1, 3.140e-3
5.980e+1, 3.145e-3
5.990e+1, 3.148e-3
6.000e+1, 3.149e-3
