Dec. 22, 2024   05:00:24
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp667_r5/2024-12-16-exp728\exp728deposition-2024-12-22t04_54_32-deposition\exp728deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 180
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 9.2

Results:

Channel 1:

Time/sec, Current/A

6.910e+1, 2.705e-3
6.920e+1, 2.697e-3
6.930e+1, 2.708e-3
6.940e+1, 2.704e-3
6.950e+1, 2.699e-3
6.960e+1, 2.705e-3
6.970e+1, 2.709e-3
6.980e+1, 2.705e-3
6.990e+1, 2.721e-3
7.000e+1, 2.731e-3
7.010e+1, 2.740e-3
7.020e+1, 2.733e-3
7.030e+1, 2.727e-3
7.040e+1, 2.727e-3
7.050e+1, 2.720e-3
7.060e+1, 2.714e-3
7.070e+1, 2.708e-3
7.080e+1, 2.736e-3
7.090e+1, 2.723e-3
7.100e+1, 2.711e-3
7.110e+1, 2.704e-3
7.120e+1, 2.707e-3
7.130e+1, 2.710e-3
7.140e+1, 2.701e-3
7.150e+1, 2.695e-3
7.160e+1, 2.702e-3
7.170e+1, 2.700e-3
7.180e+1, 2.702e-3
7.190e+1, 2.704e-3
7.200e+1, 2.705e-3
7.210e+1, 2.701e-3
7.220e+1, 2.694e-3
7.230e+1, 2.695e-3
7.240e+1, 2.689e-3
7.250e+1, 2.689e-3
7.260e+1, 2.692e-3
7.270e+1, 2.702e-3
7.280e+1, 2.696e-3
7.290e+1, 2.691e-3
7.300e+1, 2.746e-3
7.310e+1, 2.805e-3
7.320e+1, 2.806e-3
7.330e+1, 2.806e-3
7.340e+1, 2.847e-3
7.350e+1, 2.858e-3
7.360e+1, 2.869e-3
7.370e+1, 2.868e-3
7.380e+1, 2.888e-3
7.390e+1, 2.898e-3
7.400e+1, 2.895e-3
7.410e+1, 2.891e-3
7.420e+1, 2.889e-3
7.430e+1, 2.885e-3
7.440e+1, 2.872e-3
7.450e+1, 2.868e-3
7.460e+1, 2.863e-3
7.470e+1, 2.853e-3
7.480e+1, 2.844e-3
7.490e+1, 2.835e-3
7.500e+1, 2.830e-3
7.510e+1, 2.823e-3
7.520e+1, 2.817e-3
7.530e+1, 2.813e-3
7.540e+1, 2.809e-3
7.550e+1, 2.837e-3
7.560e+1, 2.820e-3
7.570e+1, 2.836e-3
7.580e+1, 2.900e-3
7.590e+1, 2.913e-3
7.600e+1, 2.922e-3
7.610e+1, 2.922e-3
7.620e+1, 2.932e-3
7.630e+1, 2.923e-3
7.640e+1, 2.913e-3
7.650e+1, 2.921e-3
7.660e+1, 2.921e-3
7.670e+1, 2.910e-3
7.680e+1, 2.909e-3
7.690e+1, 2.903e-3
7.700e+1, 2.915e-3
7.710e+1, 2.906e-3
7.720e+1, 2.898e-3
7.730e+1, 2.898e-3
7.740e+1, 2.915e-3
7.750e+1, 2.909e-3
7.760e+1, 2.911e-3
7.770e+1, 2.903e-3
7.780e+1, 2.901e-3
7.790e+1, 2.897e-3
7.800e+1, 2.892e-3
7.810e+1, 2.889e-3
7.820e+1, 2.891e-3
7.830e+1, 2.884e-3
7.840e+1, 2.874e-3
7.850e+1, 2.870e-3
7.860e+1, 2.866e-3
7.870e+1, 2.854e-3
7.880e+1, 2.847e-3
7.890e+1, 2.837e-3
7.900e+1, 2.835e-3
7.910e+1, 2.828e-3
7.920e+1, 2.829e-3
7.930e+1, 2.822e-3
7.940e+1, 2.813e-3
7.950e+1, 2.805e-3
7.960e+1, 2.793e-3
7.970e+1, 2.794e-3
7.980e+1, 2.780e-3
7.990e+1, 2.765e-3
8.000e+1, 2.760e-3
8.010e+1, 2.790e-3
8.020e+1, 2.808e-3
8.030e+1, 2.810e-3
8.040e+1, 2.826e-3
8.050e+1, 2.831e-3
8.060e+1, 2.847e-3
8.070e+1, 2.849e-3
8.080e+1, 2.847e-3
8.090e+1, 2.845e-3
8.100e+1, 2.839e-3
8.110e+1, 2.832e-3
8.120e+1, 2.822e-3
8.130e+1, 2.813e-3
8.140e+1, 2.803e-3
8.150e+1, 2.803e-3
8.160e+1, 2.801e-3
8.170e+1, 2.835e-3
8.180e+1, 2.881e-3
8.190e+1, 2.887e-3
8.200e+1, 2.891e-3
8.210e+1, 2.888e-3
8.220e+1, 2.886e-3
8.230e+1, 2.882e-3
8.240e+1, 2.884e-3
8.250e+1, 2.883e-3
8.260e+1, 2.886e-3
8.270e+1, 2.885e-3
8.280e+1, 2.881e-3
8.290e+1, 2.879e-3
8.300e+1, 2.883e-3
8.310e+1, 2.877e-3
8.320e+1, 2.860e-3
8.330e+1, 2.855e-3
8.340e+1, 2.849e-3
8.350e+1, 2.858e-3
8.360e+1, 2.852e-3
8.370e+1, 2.842e-3
8.380e+1, 2.837e-3
8.390e+1, 2.836e-3
8.400e+1, 2.834e-3
8.410e+1, 2.837e-3
