May 5, 2025   07:16:17
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp1108_r5/2025-04-30-exp1246\exp1246deposition-2025-05-05t07_11_48-deposition\exp1246deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 102
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.5

Results:

Channel 1:

Time/sec, Current/A

4.130e+1, 7.169e-3
4.140e+1, 7.197e-3
4.150e+1, 7.189e-3
4.160e+1, 7.184e-3
4.170e+1, 7.198e-3
4.180e+1, 7.213e-3
4.190e+1, 7.220e-3
4.200e+1, 7.286e-3
4.210e+1, 7.332e-3
4.220e+1, 7.415e-3
4.230e+1, 7.492e-3
4.240e+1, 7.500e-3
4.250e+1, 7.492e-3
4.260e+1, 7.503e-3
4.270e+1, 7.503e-3
4.280e+1, 7.506e-3
4.290e+1, 7.549e-3
4.300e+1, 7.569e-3
4.310e+1, 7.561e-3
4.320e+1, 7.571e-3
4.330e+1, 7.573e-3
4.340e+1, 7.585e-3
4.350e+1, 7.593e-3
4.360e+1, 7.613e-3
4.370e+1, 7.640e-3
4.380e+1, 7.678e-3
4.390e+1, 7.739e-3
4.400e+1, 7.790e-3
4.410e+1, 7.862e-3
4.420e+1, 7.941e-3
4.430e+1, 7.955e-3
4.440e+1, 7.935e-3
4.450e+1, 7.945e-3
4.460e+1, 7.959e-3
4.470e+1, 7.971e-3
4.480e+1, 8.005e-3
4.490e+1, 8.063e-3
4.500e+1, 8.117e-3
4.510e+1, 8.122e-3
4.520e+1, 8.122e-3
4.530e+1, 8.160e-3
4.540e+1, 8.275e-3
4.550e+1, 8.331e-3
4.560e+1, 8.360e-3
4.570e+1, 8.396e-3
4.580e+1, 8.459e-3
4.590e+1, 8.457e-3
4.600e+1, 8.461e-3
4.610e+1, 8.484e-3
4.620e+1, 8.556e-3
4.630e+1, 8.574e-3
4.640e+1, 8.595e-3
4.650e+1, 8.592e-3
4.660e+1, 8.547e-3
4.670e+1, 8.510e-3
4.680e+1, 8.477e-3
4.690e+1, 8.481e-3
4.700e+1, 8.464e-3
4.710e+1, 8.481e-3
4.720e+1, 8.493e-3
4.730e+1, 8.510e-3
4.740e+1, 8.513e-3
4.750e+1, 8.513e-3
4.760e+1, 8.530e-3
4.770e+1, 8.537e-3
4.780e+1, 8.578e-3
4.790e+1, 8.606e-3
4.800e+1, 8.640e-3
4.810e+1, 8.733e-3
4.820e+1, 8.765e-3
4.830e+1, 8.771e-3
4.840e+1, 8.804e-3
4.850e+1, 8.806e-3
4.860e+1, 8.807e-3
4.870e+1, 8.823e-3
4.880e+1, 8.867e-3
4.890e+1, 8.952e-3
4.900e+1, 8.981e-3
4.910e+1, 9.075e-3
4.920e+1, 9.121e-3
4.930e+1, 9.165e-3
4.940e+1, 9.358e-3
4.950e+1, 9.431e-3
4.960e+1, 9.400e-3
4.970e+1, 9.353e-3
4.980e+1, 9.286e-3
4.990e+1, 9.253e-3
5.000e+1, 9.260e-3
5.010e+1, 9.289e-3
5.020e+1, 9.313e-3
5.030e+1, 9.426e-3
5.040e+1, 9.502e-3
5.050e+1, 9.661e-3
5.060e+1, 9.611e-3
5.070e+1, 9.505e-3
5.080e+1, 9.430e-3
5.090e+1, 9.339e-3
5.100e+1, 9.281e-3
5.110e+1, 9.282e-3
5.120e+1, 9.224e-3
5.130e+1, 9.191e-3
5.140e+1, 9.184e-3
5.150e+1, 9.225e-3
5.160e+1, 9.280e-3
5.170e+1, 9.318e-3
5.180e+1, 9.414e-3
5.190e+1, 9.438e-3
5.200e+1, 9.476e-3
5.210e+1, 9.503e-3
5.220e+1, 9.466e-3
5.230e+1, 9.451e-3
5.240e+1, 9.461e-3
5.250e+1, 9.582e-3
5.260e+1, 9.705e-3
5.270e+1, 9.729e-3
5.280e+1, 9.746e-3
5.290e+1, 9.726e-3
5.300e+1, 9.730e-3
5.310e+1, 9.722e-3
5.320e+1, 9.787e-3
5.330e+1, 9.760e-3
5.340e+1, 9.772e-3
5.350e+1, 9.763e-3
5.360e+1, 9.767e-3
5.370e+1, 9.767e-3
5.380e+1, 9.766e-3
5.390e+1, 9.783e-3
5.400e+1, 9.789e-3
5.410e+1, 9.791e-3
5.420e+1, 9.808e-3
5.430e+1, 9.857e-3
5.440e+1, 9.891e-3
5.450e+1, 9.918e-3
5.460e+1, 9.954e-3
5.470e+1, 9.964e-3
5.480e+1, 9.981e-3
5.490e+1, 1.005e-2
5.500e+1, 1.008e-2
5.510e+1, 1.011e-2
5.520e+1, 1.011e-2
5.530e+1, 1.011e-2
5.540e+1, 1.011e-2
5.550e+1, 1.011e-2
5.560e+1, 1.011e-2
5.570e+1, 1.011e-2
5.580e+1, 1.011e-2
5.590e+1, 1.011e-2
5.600e+1, 1.011e-2
5.610e+1, 1.011e-2
5.620e+1, 1.011e-2
5.630e+1, 1.011e-2
5.640e+1, 1.011e-2
5.650e+1, 1.011e-2
5.660e+1, 1.011e-2
5.670e+1, 1.011e-2
5.680e+1, 1.011e-2
5.690e+1, 1.011e-2
5.700e+1, 1.011e-2
5.710e+1, 1.011e-2
5.720e+1, 1.011e-2
5.730e+1, 1.011e-2
5.740e+1, 1.011e-2
5.750e+1, 1.011e-2
5.760e+1, 1.011e-2
5.770e+1, 1.011e-2
5.780e+1, 1.011e-2
5.790e+1, 1.011e-2
5.800e+1, 1.011e-2
5.810e+1, 1.011e-2
5.820e+1, 1.011e-2
5.830e+1, 1.011e-2
5.840e+1, 1.011e-2
5.850e+1, 1.011e-2
5.860e+1, 1.011e-2
5.870e+1, 1.011e-2
5.880e+1, 1.011e-2
5.890e+1, 1.011e-2
5.900e+1, 1.011e-2
5.910e+1, 1.011e-2
5.920e+1, 1.011e-2
5.930e+1, 1.011e-2
5.940e+1, 1.011e-2
5.950e+1, 1.011e-2
5.960e+1, 1.011e-2
5.970e+1, 1.011e-2
5.980e+1, 1.011e-2
5.990e+1, 1.011e-2
6.000e+1, 1.011e-2
6.010e+1, 1.011e-2
6.020e+1, 1.011e-2
6.030e+1, 1.011e-2
6.040e+1, 1.011e-2
6.050e+1, 1.011e-2
6.060e+1, 1.011e-2
6.070e+1, 1.011e-2
6.080e+1, 1.011e-2
6.090e+1, 1.011e-2
6.100e+1, 1.011e-2
6.110e+1, 1.011e-2
6.120e+1, 1.011e-2
6.130e+1, 1.011e-2
6.140e+1, 1.011e-2
6.150e+1, 1.011e-2
6.160e+1, 1.011e-2
6.170e+1, 1.011e-2
