June 26, 2026   07:32:22
Amperometric i-t Curve
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp13\exp13deposition-2026-06-26t07_28_36-deposition\exp13deposition_it_edep_-120mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.2
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.6

Results:

Channel 1:

Time/sec, Current/A

5.490e+1, 2.437e-3
5.500e+1, 2.434e-3
5.510e+1, 2.461e-3
5.520e+1, 2.456e-3
5.530e+1, 2.429e-3
5.540e+1, 2.403e-3
5.550e+1, 2.356e-3
5.560e+1, 2.337e-3
5.570e+1, 2.354e-3
5.580e+1, 2.367e-3
5.590e+1, 2.371e-3
5.600e+1, 2.339e-3
5.610e+1, 2.366e-3
5.620e+1, 2.392e-3
5.630e+1, 2.408e-3
5.640e+1, 2.415e-3
5.650e+1, 2.417e-3
5.660e+1, 2.399e-3
5.670e+1, 2.364e-3
5.680e+1, 2.398e-3
5.690e+1, 2.417e-3
5.700e+1, 2.391e-3
5.710e+1, 2.364e-3
5.720e+1, 2.383e-3
5.730e+1, 2.378e-3
5.740e+1, 2.372e-3
5.750e+1, 2.402e-3
5.760e+1, 2.419e-3
5.770e+1, 2.394e-3
5.780e+1, 2.341e-3
5.790e+1, 2.326e-3
5.800e+1, 2.322e-3
5.810e+1, 2.351e-3
5.820e+1, 2.364e-3
5.830e+1, 2.342e-3
5.840e+1, 2.330e-3
5.850e+1, 2.347e-3
5.860e+1, 2.376e-3
5.870e+1, 2.391e-3
5.880e+1, 2.406e-3
5.890e+1, 2.434e-3
5.900e+1, 2.424e-3
5.910e+1, 2.406e-3
5.920e+1, 2.404e-3
5.930e+1, 2.434e-3
5.940e+1, 2.475e-3
5.950e+1, 2.506e-3
5.960e+1, 2.538e-3
5.970e+1, 2.585e-3
5.980e+1, 2.604e-3
5.990e+1, 2.600e-3
6.000e+1, 2.557e-3
