Experiment,Overpotential @ 50 mA_Ar,Cdl mF cm-2_Ar
exp245,-0.5857,1.5815571058759827
exp246,-0.8837,0.1708161921436991
exp247,-0.8017,0.1792872483002649
exp249,-0.7636999999999999,0.19402570610096856
exp252,-0.6406999999999999,1.6566600279767778
exp253,-0.7857,0.3449080255492353
exp254,-0.7757,0.27717401766708666
exp255,-0.7277000000000001,0.19272655894563714
exp256,-0.6406999999999999,0.2991539264137483
exp258,-0.7977,0.11783470327076066
exp259,-0.8117,0.15235631388831472
exp260,-0.8567000000000001,0.16982298161947612
exp261,-0.5567000000000001,3.0797755900930603
exp262,-0.8157,0.16755534725194046
exp263,-0.8187000000000001,0.12446905814836115
exp265,-0.5577,0.7899411098592889
exp266,-0.7676999999999999,0.3553118368634033
exp267,-0.8557,0.08951827051087141
exp270,-0.9527,0.011839926395730695
exp271,-0.7267,0.5197889983912846
exp272,-0.8187000000000001,0.17962920784863265
exp273,-0.6827,3.7961690949061375
exp275,-0.3797,13.220526198436328
exp276,-0.7616999999999999,0.1673967431497567
exp277,-0.8706999999999999,0.16608758586077982
exp278,-0.5176999999999999,12.945633189109376
exp279,-0.6037,0.9649019295677352
exp280,-0.7797,0.18929538896233053
exp281,-0.7416999999999999,0.49757903018824684
exp282,-0.7407,0.39336310379632794
exp283,-0.4687,2.9416171180649604
exp284,-0.7447,0.6067941936533581
exp285,-0.3857,16.51746589594714
exp286,-0.7177000000000001,0.29521326413855264
exp287,-0.7007,0.8610520467259543
exp288,-0.8517,0.22748541786892829
exp289,-0.5397,6.685520314824292
exp290,-0.7247,0.24844330643843912
exp291,-0.8217,0.18645021419204097
exp292,-0.6917000000000001,0.5974933932688407
exp293,-0.7847000000000001,0.09153359344651635
exp294,-0.8307000000000001,0.1944193503113825
exp295,-0.7777,0.21573464767346845
exp296,,-113.70050179823812
exp298,-0.8177,0.20374002989897758
exp299,-0.3666999999999999,12.770953372932214
exp302,-0.7157000000000001,0.4590927248364271
exp303,-0.5687000000000001,3.605407165301227
exp304,-0.7367,0.9182249747804992
exp305,-0.5547000000000001,3.3444548269213037
exp311,-0.6507,0.7732358027655765
exp317,-0.7947000000000001,0.1647568710662815
exp318,-0.8946999999999999,0.0866753690446235
exp319,-0.8737,0.06875884934358208
exp320,-0.4617000000000001,8.870246270384033
exp321,-0.8607000000000001,0.10784185993759338
exp322,-0.5577,3.5575026624898327
exp323,-0.4437000000000001,38.444725770494344
exp324,-0.5837,1.9198262606842575
exp325,-0.6857000000000001,2.79260574413787
exp326,-0.8257,0.2902818671969393
exp327,-0.6747,0.27087302284634995
exp328,-0.5847000000000001,5.506899599456393
exp329,-0.4787,6.456263568088484
exp330,-0.7396999999999999,0.13943848508876341
exp331,-0.8726999999999999,0.16290177175848136
exp332,-0.3467000000000001,13.915765336645348
exp333,-0.8437,0.12816348741249872
exp334,-0.8877,0.10196681122375939
exp335,-0.3837,7.039498715077271
exp336,-0.8417,0.1220542666779075
exp337,-0.7516999999999999,1.0198464589999032
exp338,-0.9137,0.1516508662223036
exp339,-0.6217,3.918664124859532
exp340,-0.6857000000000001,0.7671947910997254
exp341,-0.8497,0.11421447468743343
exp342,-0.5987000000000001,1.9553871022173304
exp343,-0.5236999999999999,5.069081672988769
exp344,-0.8337,0.6844843482793671
exp345,-0.8637,0.10134420170889082
exp346,-0.9107,0.08717944935368736
exp347,-0.8946999999999999,0.09183102915022212
exp348,-0.8387000000000001,0.11687162713712526
exp349,-0.3666999999999999,29.01214337812647
exp350,-0.6667,4.015007185128345
exp351,-0.7827000000000001,0.09828013416158125
exp352,-0.8547000000000001,0.10968320277175769
exp353,-0.6466999999999999,1.7395345574142531
exp354,-0.5487000000000001,3.7829150476914477
exp355,-0.5917,3.284868308250638
exp356,-0.7307,0.15907038270642573
exp357,-0.6477,0.9911383903861153
exp358,-0.7436999999999999,0.12157051317952294
exp359,-0.7656999999999999,0.123979535485328
exp360,-0.8507000000000001,0.1080450095866291
exp361,-0.6977000000000001,0.3822149707741039
exp362,-0.5657,3.6555592912554458
exp363,-0.5096999999999999,4.501182014575677
exp364,-0.5567000000000001,2.9271062221606337
exp365,-0.8826999999999999,0.11453878131538443
exp366,-0.6947,-21.181708375907835
exp367,-0.8597,0.13218415660773408
exp369,-0.5787000000000001,2.881150394869345
exp370,-0.6807,3.800164307436866
exp371,-0.6097,1.1299682738173153
exp372,-0.3587000000000001,16.081820448800663
exp373,-0.6317,2.3975793757051473
exp374,-0.7297000000000001,0.9685354724426477
exp375,-0.7287,0.7180962068446842
exp376,-0.6057,3.415269424044697
exp377,-0.8686999999999999,0.10194209785857616
exp378,-0.4467,7.386611718972328
exp379,-0.5337,6.581455073949157
exp380,-0.7927000000000001,0.08181796751730805
exp381,-0.7447,0.10463273497393254
exp382,-0.7357000000000001,1.3092465392207764
exp383,-0.8617,0.09199605257839762
exp384,-0.8397,0.09652950918087179
exp385,-0.8297,0.11156149267463426
exp386,-0.8447000000000001,0.12064553071346443
exp387,-0.7847000000000001,0.1972393478322489
exp388,-0.8267000000000001,0.2544523706768469
exp389,-0.8966999999999999,0.09127909009379107
