Experiment,Overpotential V at 2.0 mA/cm2,Overpotential V at 10.0 mA/cm2,Overpotential V at 50.0 mA/cm2
exp223,-0.3597,-0.4306999999999999,-0.5156999999999999
exp224,-0.3577,-0.4397000000000001,-0.5487000000000001
exp226,-0.1827,-0.2796999999999999,-0.3846999999999999
exp230,-0.3986999999999999,-0.5167,-0.6166999999999999
exp232,-0.7707,-0.8127000000000001,-0.8797
exp233,-0.4767,-0.5597,-0.6607
exp234,-0.7516999999999999,-0.8027000000000001,-0.8757
exp235,-0.4457000000000001,-0.5967000000000001,-0.7127
exp237,-0.4177,-0.5307000000000001,-0.6857000000000001
exp238,-0.3906999999999999,-0.5076999999999999,-0.6667
exp239,-0.4137,-0.5557,-0.6727
exp240,-0.4597000000000001,-0.5497,-0.6677000000000001
exp241,-0.5207,-0.5867000000000001,-0.6807
exp242,-0.5417,-0.6087000000000001,-0.7007
exp243,-0.3056999999999999,-0.4377000000000001,-0.6146999999999999
exp244,-0.5987000000000001,-0.6897000000000001,-0.7927000000000001
exp245,-0.3107000000000001,-0.4347,-0.5797
exp246,-0.4437000000000001,-0.6126999999999999,-0.7047
exp247,-0.6767,-0.7147,-0.7576999999999999
exp249,-0.5877,-0.6557000000000001,-0.7157000000000001
exp252,-0.3457,-0.4547,-0.5777
exp253,-0.4996999999999999,-0.6246999999999999,-0.7167
exp254,-0.4457000000000001,-0.5457,-0.6486999999999999
exp255,-0.5357,-0.6177,-0.6857000000000001
exp256,-0.2807,-0.3637,-0.5147
exp258,-0.6767,-0.7507,-0.8267000000000001
exp259,-0.7257000000000001,-0.7797,-0.8347000000000001
exp260,-0.6326999999999999,-0.7007,-0.7817
exp261,-0.3197,-0.4017,-0.5397
exp262,-0.6747,-0.7307,-0.7827000000000001
exp263,-0.6386999999999999,-0.7536999999999999,-0.8287000000000001
exp265,-0.3137,-0.3997,-0.5377
exp266,-0.5357,-0.6937000000000001,-0.8087000000000001
exp267,-0.7407,-0.8057,-0.8547000000000001
exp270,-0.5527000000000001,-0.6497,-0.7496999999999999
exp271,-0.4967,-0.6217,-0.7587
exp272,-0.6557000000000001,-0.7407,-0.8277
exp273,-0.2716999999999999,-0.3477,-0.4727
exp275,-0.2057000000000001,-0.2776999999999999,-0.3706999999999999
exp276,-0.7757,-0.6837000000000001,-0.7387
exp277,-0.6637000000000001,-0.7436999999999999,-0.8367000000000001
exp278,-0.0327000000000001,-0.3407000000000001,-0.4627
exp279,-0.3427000000000001,-0.4387,-0.5747000000000001
exp280,-0.5547000000000001,-0.6226999999999999,-0.7157000000000001
exp281,-0.3857,-0.4827,-0.6817000000000001
exp282,-0.5116999999999999,-0.6297,-0.7357000000000001
exp283,-0.2357000000000001,-0.3027000000000001,-0.4246999999999999
exp284,-0.4077,-0.6057,-0.7187
exp285,-0.0137,-0.2727,-0.3227000000000001
exp286,-0.4457000000000001,-0.5897,-0.7347
exp287,-0.2787,-0.3557,-0.4717000000000001
exp288,-0.5937,-0.6817000000000001,-0.7596999999999999
exp289,-0.1597000000000001,-0.3147000000000001,-0.4226999999999999
exp290,-0.6047000000000001,-0.6867,-0.7496999999999999
exp291,-0.7277000000000001,-0.7747,-0.8257
exp292,-0.3617,-0.5096999999999999,-0.6717000000000001
exp293,-0.6326999999999999,-0.7127,-0.7897
exp294,-0.3597,-0.4387,-0.5397
exp295,-0.6226999999999999,-0.7007,-0.7767000000000001
exp296,-0.4377000000000001,-0.5277,-0.6077
exp298,-0.7376999999999999,-0.8097,-0.8937
exp299,-0.1717000000000001,-0.2496999999999999,-0.3407000000000001
exp302,-0.4996999999999999,-0.6077,-0.7097000000000001
exp303,-0.2956999999999999,-0.3866999999999999,-0.5537
exp304,-0.4317000000000001,-0.5877,-0.7267
exp305,-0.2587,-0.3437,-0.4677000000000001
exp311,-0.4206999999999999,-0.5497,-0.6567
exp317,-0.4617000000000001,-0.5607000000000001,-0.7297000000000001
exp318,-0.6357,-0.7347,-0.8857
exp319,-0.7187,-0.7847000000000001,-0.8677
exp320,-0.2447,-0.3167000000000001,-0.4377000000000001
exp321,-0.5096999999999999,-0.7607,-0.8726999999999999
exp322,-0.3056999999999999,-0.4017,-0.5607000000000001
exp323,-0.0457,0.0032999999999998,-0.4237000000000001
exp324,-0.3317,-0.4226999999999999,-0.5527000000000001
exp325,-0.5116999999999999,-0.5757,-0.6637000000000001
exp326,-0.5357,-0.6097,-0.7307
exp327,-0.3297,-0.4246999999999999,-0.5807000000000001
exp328,-0.3036999999999999,-0.3866999999999999,-0.5487000000000001
exp329,-0.2357000000000001,-0.3237,-0.4607
exp330,-0.5667000000000001,-0.6446999999999999,-0.7297000000000001
exp331,-0.7137000000000001,-0.7827000000000001,-0.8567000000000001
exp332,-0.1547,-0.2327,-0.3317
exp333,-0.4266999999999999,-0.5827000000000001,-0.6987
exp334,-0.7347,-0.8237,-0.9207
exp335,-0.1647,-0.2407,-0.3487000000000001
exp336,-0.4947,-0.5917,-0.7287
exp337,-0.4757000000000001,-0.5527000000000001,-0.6827
exp338,-0.6097,-0.6917000000000001,-0.7797
exp339,-0.3437,-0.4517000000000001,-0.6277
exp340,-0.3007000000000001,-0.3837,-0.5297
