Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Tafel Slope (mV/dec),Exchange Current Density (mA/cm²),R²,Overpotential @ 50 mA,Cdl mF cm-2
exp79,10,0,5,5,0,5,5,35,0,5,0,-1.1,150,186.1009077329821,0.0209315998422027,0.9903523701988108,-0.6387,3.7864202221316
exp80,0,0,25,10,0,0,0,5,10,10,10,-1.1,150,124.21300853185932,6.888550949928248e-06,0.9992441841365574,-0.8817,0.5095236696351
exp81,15,0,10,0,20,0,0,15,5,5,0,-1.2,120,125.85328257416629,0.000191089456841,0.997620645537976,-0.6847,0.928533784772
exp82,0,15,0,5,10,10,0,15,10,5,0,-1.2,120,142.64009087870224,0.0291777064891429,0.9952198299953896,-0.4737,9.924874164007
exp83,15,10,5,0,0,0,5,5,25,0,5,-1.1,150,197.1488416388282,0.0022637690618469,0.9982773319549184,-0.8727,0.5534509392738001
exp84,0,5,0,0,0,10,10,10,20,0,15,-1.1,150,155.9506877225995,0.0023834362061599,0.999969318184618,-0.6837,1.7603889753828
exp85,0,5,5,0,10,0,15,10,15,5,5,-1.5,60,130.46561060264222,0.0017079418420528,0.9966049640405265,-0.6237,2.6603983734243
exp86,10,5,25,0,5,0,0,10,0,15,0,-1.5,60,110.52490587461575,3.7368601700776896e-05,0.9970670872583656,-0.7277,0.2959063958135
exp87,0,5,15,0,25,0,0,15,5,5,0,-1.3,90,108.53828875147818,0.0056300362075022,0.995420702304996,-0.4257,12.9631939656606
exp88,10,15,5,0,0,0,0,0,20,15,5,-1.2,90,171.6603820251704,0.000218417987186,0.9982206858078184,-0.9337,0.1445139348163
exp89,5,0,5,5,0,0,15,10,0,10,20,-1.1,60,128.52292940319458,0.0001127920074324,0.9985328859452112,-0.7507,0.656234331445
exp90,0,20,0,5,0,10,0,10,10,5,10,-1.5,90,171.43342493897234,0.0039190386100383,0.9999495340911332,-0.7227,0.5177920761972
exp91,0,5,5,5,15,10,0,5,20,5,0,-1.4,120,177.67941348044107,0.0322059339036081,0.9996089050253856,-0.5517,2.3622001995604
exp92,10,5,15,5,0,0,15,10,5,5,0,-1.3,120,,,,,
exp93,5,5,5,5,0,15,5,15,0,15,0,-1.2,90,,,,,
exp94,10,5,0,5,5,5,0,35,0,5,0,-1.4,90,,,,,
exp95,0,0,5,0,10,5,5,25,10,0,10,-1.2,90,93.8749014945385,1.4868968877006107e-06,0.9971703344318334,-0.7417,0.1795164107329
exp96,0,0,10,0,10,0,0,15,20,15,0,-1.3,60,100.03898387629631,2.559785405368556e-06,0.9941781824133468,-0.7687,0.1637603428202
exp97,5,0,0,15,0,5,5,0,10,10,20,-1.1,150,215.7285997171928,0.0034701083872312,0.9989158145979612,-0.9127,0.1698975855992
exp98,0,20,0,10,5,0,15,10,5,5,0,-1.4,120,166.7960830776281,0.0059504098128116,0.9974884004755112,-0.6657,5.5297569755397
exp99,5,5,5,5,5,5,0,5,5,25,5,-1.3,150,134.37248559976268,0.0005956224314251,0.9997947355517852,-0.6727,0.7546188531249001
exp100,5,0,0,0,0,20,10,10,25,0,0,-1.1,90,243.02733575171325,0.0136825671218795,0.9989306081595468,-0.8847,0.1790271711025
exp101,15,0,0,5,5,15,0,5,25,0,0,-1.5,150,253.43457268374004,0.030218266534619,0.9947274760122196,-0.8387,0.250154180247
exp102,0,15,0,5,15,10,0,0,5,15,5,-1.1,90,114.71045718109488,8.620458388020653e-05,0.9953128682344032,-0.7297,0.1539265123137
exp103,5,0,0,30,10,5,0,5,15,0,0,-1.3,120,442.73002714408346,3.161398368669181,0.5059556274754833,-0.4637,8.884716112985
exp104,5,5,15,5,0,5,10,10,10,5,0,-1.1,150,276.3808603761328,0.2654643284920869,0.9965308402681132,-0.6497,5.3861697919176
exp105,0,0,0,5,30,10,0,0,25,0,0,-1.2,90,140.95079016015382,0.0254174630242652,0.9937801835322616,-0.4707,4.068170670348
exp106,0,0,0,25,0,0,10,10,20,5,0,-1.3,150,158.45456101157373,0.0006858336966482,0.9842835011172542,-0.8097,0.3410515469607
exp107,0,0,35,0,0,5,5,20,0,0,5,-1.3,150,178.63341151953875,0.144713834042844,0.9951636890927208,-0.4667,5.4369922441656
exp108,5,0,0,0,5,5,20,10,0,25,0,-1.3,150,201.0301938710059,0.0998910199105326,0.9990499209517342,-0.5287,9.4793598282798
exp109,10,10,0,5,0,15,5,0,25,0,0,-1.4,60,193.52399824505645,0.0749955519975708,0.9970662423847062,-0.5687,2.8249053799803003
exp110,5,0,5,30,0,0,0,0,20,0,10,-1.4,60,118.87395256475868,3.682745067038466e-06,0.9987703883404808,-0.8717,0.1677650563869
exp111,5,15,10,0,0,5,0,5,15,10,5,-1.2,150,89.6299503742522,0.0101234865468252,0.9859186249266108,-0.3577,15.0398134618919
exp112,0,0,20,0,0,10,5,30,0,0,5,-1.1,120,206.1343189920719,0.1510993679659485,0.99892028514729,-0.5177,2.9809641773567996
exp113,5,15,0,10,15,0,0,5,20,0,0,-1.3,60,102.98433056170504,3.4227675471090726e-06,0.9982411733263944,-0.7897,0.1552096450638
exp114,5,0,10,10,0,0,0,30,5,5,5,-1.3,60,112.45574285786032,4.965804751194904e-06,0.9980555339053644,-0.8207,0.1711712598128
exp115,0,0,5,25,5,0,15,15,5,0,0,-1.1,90,139.89390950151787,0.0016885180221222,0.9990544505639758,-0.6367,7.0097508042697
exp116,0,0,20,10,5,0,0,15,5,0,15,-1.4,90,156.74605109956102,0.0713834820215169,0.9878483512292228,-0.4587,13.803646414261
