Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp557,0,0,8,8,0,0,8,15,0,0,31,-1.2,90,-0.5357,-0.5967,-0.6377,-0.6717,-0.7007
exp558,8,0,0,8,0,8,8,15,15,0,8,-1.4,90,-0.4127,-0.4877,-0.5277,-0.5527,-0.5707
exp559,8,8,8,0,8,0,8,0,0,7,23,-1.1,180,-0.3217,-0.3427,-0.3597,-0.3747,-0.3877
exp560,8,0,8,8,0,0,0,0,15,0,31,-1.4,150,-0.8327,-0.8517,-0.8637,-0.8737,-0.8817
exp561,0,0,8,8,0,0,0,7,7,0,40,-1.1,60,-0.8257,-0.8437,-0.8557,-0.8657,-0.8747
exp562,0,0,8,8,8,8,8,15,15,0,0,-1.1,150,-0.3227,-0.3717,-0.4037,-0.4287,-0.4517
exp563,8,0,8,8,8,8,8,15,0,0,7,-1.4,60,-0.3047,-0.3447,-0.3727,-0.3947,-0.4137
exp564,8,0,0,0,8,8,8,15,0,15,8,-1.2,180,-0.2377,-0.2707,-0.2917,-0.3087,-0.3227
exp565,4,0,4,0,4,4,4,7,7,7,29,-1.3,120,-0.3157,-0.3637,-0.4017,-0.4297,-0.4517
exp566,4,4,4,0,4,4,4,0,0,7,39,-1.3,120,-0.2517,-0.2747,-0.2907,-0.3057,-0.3187
exp567,4,0,4,4,4,4,4,7,7,0,32,-1.3,120,-0.4197,-0.4907,-0.5297,-0.5547,-0.5737
exp568,0,20,0,0,0,5,25,20,0,0,0,-1.5,180,-0.4057,-0.4597,-0.5007,-0.5337,-0.5607
exp569,0,0,0,0,25,0,0,0,0,45,45,-1,180,-0.4187,-0.4627,-0.4917,-0.5127,-0.5307
exp571,0,0,0,0,15,15,0,0,0,20,40,-1.5,180,-0.3207,-0.3427,-0.3677,-0.3897,-0.4097
exp572,30,0,0,0,0,0,20,0,0,20,20,-1,180,-0.8377,-0.8697,-0.8857,-0.8967,-0.9057
exp574,0,0,0,0,0,50,0,20,0,0,0,-1.5,180,-0.3037,-0.3437,-0.3727,-0.3957,-0.4157
