Experiment,Tafel Slope (mV dec-1)_Ar,Exchange Current Density (mA cm-2)_Ar,Tafel R^2_Ar
exp63,166.06677478510946,0.0004836074948679393,0.9979981601626141
exp64,155.9716090025534,0.0033697982232310454,0.9994927045816435
exp65,115.16867002172795,7.015299974735717e-05,0.99771241435623
exp66,148.93087218855862,0.0001373426215724333,0.9968258399087676
exp67,411.71656540131653,3.026097444945382,0.3511070927068847
exp68,137.90013127013512,0.00018650544440406257,0.9980047801765554
exp69,111.49049149146587,4.4222776210346186e-05,0.9963908827505322
exp70,132.35900044378863,7.957910846806112e-05,0.9977727642080721
exp71,113.80571819450405,0.0009323146918035348,0.9962840250607891
exp72,116.23899264000435,0.002026049683532379,0.9988263552561782
exp73,130.69224577825005,3.324507351073442e-05,0.9987782857284996
exp74,146.91212130034617,8.536318897715623e-05,0.9980618579611871
exp75,107.8503660408479,1.0889540275644264e-06,0.9987436320487427
exp76,146.3133115812384,0.00018008935356212478,0.9961379045767718
exp77,120.01583794109754,0.0011117405546051413,0.9974747883372135
exp78,128.2444675403596,0.0017854261985397355,0.9951519323123982
exp79,128.110367601945,0.00081227290370465,0.9963825252134743
exp80,113.09992612556464,2.1935578719499235e-06,0.9985280082217783
exp81,100.93716425758318,1.3809211452558403e-05,0.9993757800921962
exp82,146.51630225887817,0.009389892260418111,0.9996747065779897
exp83,151.72475396607274,8.386956718110127e-05,0.9991396524533284
exp84,145.43085239758446,0.0010896099218753361,0.9997061359322154
exp85,132.54145789696383,0.002135231345455036,0.996306837284822
exp86,129.80471330688206,9.20088808952717e-05,0.9949921537378593
exp87,117.19866035166986,0.005392333212106169,0.9981759833515892
exp88,171.1168666084168,0.00017810520941102472,0.995255541077836
exp89,164.4718390282648,0.0006065966529439864,0.9967543115143732
exp90,154.39957179084837,0.0012734168301537449,0.9992466028503472
exp91,173.932625459953,0.023380133819838285,0.9999398373967321
exp95,188.14516637341697,0.0029454714045372035,0.998031550867606
exp96,152.6451137937724,0.00021317068832428656,0.9905806002092908
exp97,206.63599900213663,0.0011365905200223865,0.9995007309416722
exp98,142.04905704918326,0.0014592016627388937,0.999888706090053
exp99,139.75144066035205,0.0009090345828159141,0.9949489519671632
exp100,203.22005802513988,0.001967759212176971,0.9994375608489746
exp101,242.1352121756945,0.02008886896765215,0.9993345336071234
exp102,135.13047577665162,0.00017285514598396195,0.9899844965025163
exp103,142.25722041221184,0.00023386006435240122,0.9987033047902979
exp104,185.73979745995354,0.008377709704580585,0.9998853650078541
exp105,126.91232277948802,0.0001082838312298329,0.9964502809964719
exp106,167.83997401303475,0.00046929196183242446,0.9980197806656174
exp107,183.17646468838134,0.1620518387898706,0.9943512523270743
exp108,128.65456876769315,0.01438514107609851,0.9959887317981551
exp109,154.84240598659824,0.005132551721741656,0.9959560834259167
exp110,149.92085136938533,0.00018818126443432615,0.9986473812490401
exp111,162.46092249994595,0.0001351082529093345,0.995659051990812
exp112,159.98355795491625,0.08017840821477115,0.9980842344263468
exp113,113.18553848843283,1.8714991942660827e-05,0.9941583361837929
exp114,132.0119189538734,3.8160778108528985e-05,0.9949731552888488
exp115,156.10099382696913,0.0024969359167428505,0.9988321229859183
exp116,141.39321103176437,0.0011913991131300048,0.9995454508404079
exp117,149.605983996675,0.03551101428779711,0.998116215268872
exp118,104.53692896807972,1.7211782539998324e-05,0.9959535430607359
exp119,147.83254640476613,0.004194562147859777,0.9958791135767816
exp120,141.7586420024525,0.00021708371140075845,0.9964519884596649
exp121,165.48292153854234,0.00019816460671011476,0.9991285115716526
exp122,155.69100853023204,5.309590034792433e-05,0.9993960536833177
exp123,114.64096230891374,2.7416908378940864e-05,0.9913001795686983
exp124,106.59027125496972,0.021025265915907174,0.9863919343074588
exp125,129.8650527356244,0.00039324956931831995,0.999840733522526
exp126,179.64686078699202,0.0035559359046915874,0.9991962426025802
exp127,308.7896199753749,1.8377267040310974,0.604447470495887
exp128,109.57599697986652,0.02808604564096058,0.9951145700897381
exp129,132.91713496463873,0.0003388371662072947,0.9921390110350451
exp130,253.35678404855034,0.07935252229922396,0.9879768749862123
exp131,112.94914736944366,2.092554599617211e-05,0.996077338803296
exp132,142.23301697655936,0.004620280874328982,0.9999203869707626
