Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp751,0,0,0,0,38,0,0,15,0,0,17,-1.5,180,-0.2617,-0.2967,-0.3187,-0.3347,-0.3487
exp752,0,0,4,20,26,0,0,0,0,20,20,-1.5,180,-0.0427,-0.0887,-0.1097,-0.1347,-0.1607
exp753,0,0,0,20,0,25,15,0,0,0,10,-1.5,165,-0.0497,-0.0997,-0.2937,-0.3177,-0.3297
exp754,0,0,30,20,0,20,0,0,0,0,0,-1.5,180,-0.3247,-0.3647,-0.3827,-0.3967,-0.4077
exp755,0,0,30,0,26,0,8,0,0,6,6,-1,180,-0.3187,-0.3397,-0.3567,-0.3737,-0.3887
exp756,0,0,0,0,20,20,0,30,0,0,0,-1.5,180,-0.2337,-0.2667,-0.2867,-0.3017,-0.3147
exp757,8,24,0,0,38,0,0,0,0,0,0,-1.5,180,-0.0197,-0.0727,-0.1227,-0.1747,-0.2127
exp758,0,0,26,0,14,25,0,0,0,5,5,-1.1,180,-0.2577,-0.2767,-0.2847,-0.2897,-0.2957
exp759,20,25,5,0,20,0,0,0,0,0,0,-1.5,180,-0.6237,-0.6457,-0.6597,-0.6717,-0.6817
exp760,0,0,0,0,0,12,25,0,0,0,33,-1.3,65,-0.4087,-0.4337,-0.4507,-0.4647,-0.4767
exp761,0,25,0,0,13,0,0,0,32,0,0,-1,180,-0.3037,-0.3647,-0.3937,-0.4277,-0.4447
exp762,0,3,0,0,33,9,25,0,0,0,0,-1.5,180,-0.3717,-0.4047,-0.4227,-0.4377,-0.4497
exp763,0,0,0,20,30,20,0,0,0,0,0,-1.5,180,-0.0687,-0.1207,-0.3627,-0.3787,-0.3867
exp764,0,19,0,0,16,0,0,0,35,0,0,-1,168,-0.3497,-0.3827,-0.4057,-0.4237,-0.4387
exp765,0,5,0,0,38,2,25,0,0,0,0,-1.5,30,-0.5777,-0.6077,-0.6267,-0.6407,-0.6527
exp766,0,0,0,20,20,0,0,30,0,0,0,-1.5,180,-0.1107,-0.3207,-0.2237,-0.3657,-0.3817
exp767,0,20,0,20,5,0,25,0,0,0,0,-1.5,30,-0.5437,-0.5717,-0.5917,-0.6087,-0.6237
exp768,0,0,0,0,38,0,0,12,0,20,20,-1.5,125,-0.2827,-0.3157,-0.3377,-0.3547,-0.3697
exp769,0,0,30,0,28,0,10,0,0,2,2,-1.2,180,-0.3087,-0.3257,-0.3347,-0.3407,-0.3467
exp770,0,25,0,0,15,25,3,2,0,0,0,-1.3,180,-0.3397,-0.3757,-0.4007,-0.4197,-0.4357
