Jan. 12, 2025   16:59:22
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp825\exp825deposition-2025-01-12t16_55_06-deposition\exp825deposition_it_edep_-110mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.1
Sample Interval (s) = 0.1
Run Time (sec) = 86
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.2

Results:

Channel 1:

Time/sec, Current/A

6.980e+1, 5.074e-4
6.990e+1, 5.072e-4
7.000e+1, 5.060e-4
7.010e+1, 5.068e-4
7.020e+1, 5.072e-4
7.030e+1, 5.065e-4
7.040e+1, 5.051e-4
7.050e+1, 5.051e-4
7.060e+1, 5.050e-4
7.070e+1, 5.051e-4
7.080e+1, 5.046e-4
7.090e+1, 5.051e-4
7.100e+1, 5.064e-4
7.110e+1, 5.073e-4
7.120e+1, 5.082e-4
7.130e+1, 5.091e-4
7.140e+1, 5.089e-4
7.150e+1, 5.095e-4
7.160e+1, 5.091e-4
7.170e+1, 5.084e-4
7.180e+1, 5.076e-4
7.190e+1, 5.070e-4
7.200e+1, 5.063e-4
7.210e+1, 5.061e-4
7.220e+1, 5.048e-4
7.230e+1, 5.045e-4
7.240e+1, 5.061e-4
7.250e+1, 5.066e-4
7.260e+1, 5.061e-4
7.270e+1, 5.054e-4
7.280e+1, 5.048e-4
7.290e+1, 5.044e-4
7.300e+1, 5.047e-4
7.310e+1, 5.044e-4
7.320e+1, 5.048e-4
7.330e+1, 5.039e-4
7.340e+1, 5.035e-4
7.350e+1, 5.035e-4
7.360e+1, 5.043e-4
7.370e+1, 5.048e-4
7.380e+1, 5.048e-4
7.390e+1, 5.056e-4
7.400e+1, 5.061e-4
7.410e+1, 5.075e-4
7.420e+1, 5.098e-4
7.430e+1, 5.114e-4
7.440e+1, 5.127e-4
7.450e+1, 5.139e-4
7.460e+1, 5.143e-4
7.470e+1, 5.135e-4
7.480e+1, 5.130e-4
7.490e+1, 5.115e-4
7.500e+1, 5.097e-4
7.510e+1, 5.096e-4
7.520e+1, 5.090e-4
7.530e+1, 5.087e-4
7.540e+1, 5.084e-4
7.550e+1, 5.072e-4
7.560e+1, 5.051e-4
7.570e+1, 5.047e-4
7.580e+1, 5.064e-4
7.590e+1, 5.102e-4
7.600e+1, 5.128e-4
7.610e+1, 5.137e-4
7.620e+1, 5.149e-4
7.630e+1, 5.151e-4
7.640e+1, 5.154e-4
7.650e+1, 5.159e-4
7.660e+1, 5.159e-4
7.670e+1, 5.156e-4
7.680e+1, 5.149e-4
7.690e+1, 5.136e-4
7.700e+1, 5.114e-4
7.710e+1, 5.092e-4
7.720e+1, 5.074e-4
7.730e+1, 5.063e-4
7.740e+1, 5.050e-4
7.750e+1, 5.053e-4
7.760e+1, 5.051e-4
7.770e+1, 5.042e-4
7.780e+1, 5.046e-4
7.790e+1, 5.055e-4
7.800e+1, 5.073e-4
7.810e+1, 5.091e-4
7.820e+1, 5.096e-4
7.830e+1, 5.095e-4
7.840e+1, 5.086e-4
7.850e+1, 5.089e-4
7.860e+1, 5.096e-4
7.870e+1, 5.123e-4
7.880e+1, 5.165e-4
7.890e+1, 5.213e-4
7.900e+1, 5.230e-4
7.910e+1, 5.212e-4
7.920e+1, 5.193e-4
7.930e+1, 5.206e-4
7.940e+1, 5.217e-4
7.950e+1, 5.240e-4
7.960e+1, 5.243e-4
7.970e+1, 5.247e-4
7.980e+1, 5.231e-4
7.990e+1, 5.237e-4
8.000e+1, 5.250e-4
8.010e+1, 5.259e-4
8.020e+1, 5.301e-4
8.030e+1, 5.322e-4
8.040e+1, 5.320e-4
8.050e+1, 5.327e-4
8.060e+1, 5.314e-4
8.070e+1, 5.296e-4
8.080e+1, 5.269e-4
8.090e+1, 5.244e-4
8.100e+1, 5.220e-4
8.110e+1, 5.205e-4
8.120e+1, 5.194e-4
8.130e+1, 5.186e-4
8.140e+1, 5.189e-4
8.150e+1, 5.182e-4
8.160e+1, 5.171e-4
8.170e+1, 5.165e-4
8.180e+1, 5.154e-4
8.190e+1, 5.144e-4
8.200e+1, 5.130e-4
8.210e+1, 5.119e-4
8.220e+1, 5.112e-4
8.230e+1, 5.107e-4
8.240e+1, 5.114e-4
8.250e+1, 5.128e-4
8.260e+1, 5.132e-4
8.270e+1, 5.143e-4
8.280e+1, 5.143e-4
8.290e+1, 5.140e-4
8.300e+1, 5.142e-4
8.310e+1, 5.149e-4
8.320e+1, 5.159e-4
8.330e+1, 5.164e-4
8.340e+1, 5.171e-4
8.350e+1, 5.184e-4
8.360e+1, 5.188e-4
8.370e+1, 5.193e-4
8.380e+1, 5.199e-4
8.390e+1, 5.204e-4
8.400e+1, 5.210e-4
8.410e+1, 5.229e-4
8.420e+1, 5.241e-4
8.430e+1, 5.256e-4
8.440e+1, 5.268e-4
8.450e+1, 5.277e-4
8.460e+1, 5.279e-4
8.470e+1, 5.281e-4
8.480e+1, 5.278e-4
